"S.No","District","Hospital","Type"
 27,"Chennai           ","MIOT Hospital, Kancheepuram Tn.                                    ","Cat. I - Dedicated COVID Hospitals / DCH"
 28,"Chennai           ","Voluntary Health Services Tharamani Chennai Tn.                    ","Cat. I - Dedicated COVID Hospitals / DCH"
 29,"Chennai           ","Prime Indian Hospital                                              ","Cat. I - Dedicated COVID Hospitals / DCH"
 30,"Chennai           ","Venkateswara Hospital,Nanadanam                                    ","Cat. I - Dedicated COVID Hospitals / DCH"
 31,"Chennai           ","NOBLE HOSPITAL,CHENNAI TN.                                         ","Cat. I - Dedicated COVID Hospitals / DCH"
 32,"Coimbatore        ","Govt. Medical College Hospital, Coimbatore (CMCH)                  ","Cat. I - Dedicated COVID Hospitals / DCH"
 33,"Coimbatore        ","ESI Medical College Hospital, Coimbatore                           ","Cat. I - Dedicated COVID Hospitals / DCH"
 34,"Coimbatore        ","District Head Qtr. Hospital, Pollachi (DHQS)                       ","Cat. I - Dedicated COVID Hospitals / DCH"
 35,"Coimbatore        ","Karpagam Faculty Medical College And Hospital                      ","Cat. I - Dedicated COVID Hospitals / DCH"
 36,"Coimbatore        ","Kovai Medical College Hospital                                     ","Cat. I - Dedicated COVID Hospitals / DCH"
 37,"Coimbatore        ","PSG Institute Of Medical Sciences & Research, Coimbatore           ","Cat. I - Dedicated COVID Hospitals / DCH"
 38,"Coimbatore        ","Sri Ramakrishna Hospital,Coimbatore Tn.                            ","Cat. I - Dedicated COVID Hospitals / DCH"
 39,"Coimbatore        ","KG Hospital,Coimbatore Tn.                                         ","Cat. I - Dedicated COVID Hospitals / DCH"
 40,"Coimbatore        ","Kongunad Hospital,Coimbatore Tn.                                   ","Cat. I - Dedicated COVID Hospitals / DCH"
 41,"Coimbatore        ","One Care Medical Centre, Coimbatore TN.                            ","Cat. I - Dedicated COVID Hospitals / DCH"
 42,"Coimbatore        ","Royal Care Super Specialty Hospital,Coimbatore TN.                 ","Cat. I - Dedicated COVID Hospitals / DCH"
 43,"Coimbatore        ","GEM Hospital And Research Ctr,Coimbatore Tn.                       ","Cat. I - Dedicated COVID Hospitals / DCH"
 44,"Coimbatore        ","Royal care Super Speciality hospital coimbatore,Neelampur          ","Cat. I - Dedicated COVID Hospitals / DCH"
 45,"Cuddalore         ","Rajah Muthiah Medical College                                      ","Cat. I - Dedicated COVID Hospitals / DCH"
 46,"Cuddalore         ","Government Head Quarters Hospital, Cuddalore                       ","Cat. I - Dedicated COVID Hospitals / DCH"
 47,"Cuddalore         ","Vridhachalam_SDH                                                   ","Cat. I - Dedicated COVID Hospitals / DCH"
 48,"Cuddalore         ","Chidambaram _SDH                                                   ","Cat. I - Dedicated COVID Hospitals / DCH"
 49,"Cuddalore         ","Krishna Hospital, Cuddalore Tn.                                    ","Cat. I - Dedicated COVID Hospitals / DCH"
 50,"Dharmapuri        ","Govt. Medical College - Dharmapuri                                 ","Cat. I - Dedicated COVID Hospitals / DCH"
 51,"Dindigul          ","Govt. Medical College and Hospital in Dindigul.                    ","Cat. I - Dedicated COVID Hospitals / DCH"
 52,"Dindigul          ","Gh, Palani _SDH                                                    ","Cat. I - Dedicated COVID Hospitals / DCH"
 53,"Dindigul          ","Christian Fellow Community Centre,Dindigul Tn.                     ","Cat. I - Dedicated COVID Hospitals / DCH"
 54,"Dindigul          ","Leonard Hospital, Dindigul Tn.                                     ","Cat. I - Dedicated COVID Hospitals / DCH"
 55,"Dindigul          ","St.Joseph Hospital, Dindigul                                       ","Cat. I - Dedicated COVID Hospitals / DCH"
 56,"Dindigul          ","Christian Fellowship Hospital,Dindigul TN.                         ","Cat. I - Dedicated COVID Hospitals / DCH"
 57,"Erode             ","Sudha Hospitals Perundurai Road, Erode Tn.                         ","Cat. I - Dedicated COVID Hospitals / DCH"
 58,"Erode             ","Erode Medical Centre, Perundurai Road, Erode Tn.                   ","Cat. I - Dedicated COVID Hospitals / DCH"
 59,"Erode             ","Care 24 Medical Centre And Hospital                                ","Cat. I - Dedicated COVID Hospitals / DCH"
 60,"Erode             ","City Hospital,Erode TN.                                            ","Cat. I - Dedicated COVID Hospitals / DCH"
 61,"Erode             ","K.B.N Nursing Home,Krishna Theatre Road,Erode TN.                  ","Cat. I - Dedicated COVID Hospitals / DCH"
 62,"Erode             ","Govt. Medical College Hospital, Perundurai, Erode                  ","Cat. I - Dedicated COVID Hospitals / DCH"
 63,"Erode             ","Govt. Head Quarters Hospital, Erode                                ","Cat. I - Dedicated COVID Hospitals / DCH"
 64,"Kallakurichi      ","Govt. District Head Quarters Hospital, Kallakurichi                ","Cat. I - Dedicated COVID Hospitals / DCH"
 65,"Kancheepuram      ","District Head Quarters Hospital at Kancheepuram                    ","Cat. I - Dedicated COVID Hospitals / DCH"
 66,"Kancheepuram      ","Melmaruvathur Adhiparsakthi Medical College                        ","Cat. I - Dedicated COVID Hospitals / DCH"
 67,"Kancheepuram      ","Panimalar Medical College                                          ","Cat. I - Dedicated COVID Hospitals / DCH"
 68,"Kancheepuram      ","Saveetha Medical College                                           ","Cat. I - Dedicated COVID Hospitals / DCH"
 69,"Kancheepuram      ","Sri Muthukumaran Med College                                       ","Cat. I - Dedicated COVID Hospitals / DCH"
 70,"Kancheepuram      ","Sri Ramachandra Medical College & Research Centre                  ","Cat. I - Dedicated COVID Hospitals / DCH"
 71,"Kancheepuram      ","Tagore Medical College And Hospital                                ","Cat. I - Dedicated COVID Hospitals / DCH"
 72,"Kancheepuram      ","HINDU MISSION HOSPITAL,KANCHEEPURAM TN.                            ","Cat. I - Dedicated COVID Hospitals / DCH"
 73,"Kancheepuram      ","Gleneagles Global Health City, Kancheepuram TN.                    ","Cat. I - Dedicated COVID Hospitals / DCH"
 74,"Kancheepuram      ","Madha Medical College & Research Institute, Kovur                  ","Cat. I - Dedicated COVID Hospitals / DCH"
 75,"Kancheepuram      ","Chettinad Super Speciality Hosp,Kancheepuram Tn.                   ","Cat. I - Dedicated COVID Hospitals / DCH"
 76,"Kancheepuram      ","Meenakshi Medical College Hospital & Research Institute, Enmathur  ","Cat.- I- Dedicated COVID Hospitals / DCH"
 77,"Kanyakumari       ","Govt. Medical College Hospital, Asaripallam, Kanyakumari           ","Cat. I - Dedicated COVID Hospitals / DCH"
 78,"Kanyakumari       ","Sree Mookambika Institute Of Medical Sciences                      ","Cat. I - Dedicated COVID Hospitals / DCH"
 79,"Kanyakumari       ","Dr. Jayasekaran Medical Trust Hospital,Nagarkoil                   ","Cat. I - Dedicated COVID Hospitals / DCH"
 80,"Kanyakumari       ","Gerdi Agasthiyar Muni Care Centre, Kanyakumari Tn.                 ","Cat. I - Dedicated COVID Hospitals / DCH"
 81,"Kanyakumari       ","C.S.I Mission Hospital,Kanyakumari Tn.                             ","Cat. I - Dedicated COVID Hospitals / DCH"
 82,"Kanyakumari       ","Dr Morris Mathia Hospital, Kanyakumari TN.                         ","Cat. I - Dedicated COVID Hospitals / DCH"
 83,"Kanyakumari       ","Vasantham Health Centre, Kanyakumari TN.                           ","Cat. I - Dedicated COVID Hospitals / DCH"
 84,"Karur             ","Govt. Medical College Karur                                        ","Cat. I - Dedicated COVID Hospitals / DCH"
 85,"Krishnagiri       ","Govt. District Head Qrs.Hospital at Krishnagiri                    ","Cat. I - Dedicated COVID Hospitals / DCH"
 86,"Krishnagiri       ","Govt. Hospital at Hosur                                            ","Cat. I - Dedicated COVID Hospitals / DCH"
 87,"Madurai           ","Government Rajaji Hospital, Madurai                                ","Cat. I - Dedicated COVID Hospitals / DCH"
 88,"Madurai           ","Infectious Disease Hospital, Thoppur                               ","Cat. I - Dedicated COVID Hospitals / DCH"
 89,"Madurai           ","ESI_Madurai                                                        ","Cat. I - Dedicated COVID Hospitals / DCH"
 90,"Madurai           ","Superspeciality Madurai (PMSSY)                                    ","Cat. I - Dedicated COVID Hospitals / DCH"
 91,"Madurai           ","Velammal Medical College Hospita & Research Institute              ","Cat. I - Dedicated COVID Hospitals / DCH"
 92,"Madurai           ","MEENAKSHI MISSION HOSP AND RSRCH CENTR,MADURAI TN.                 ","Cat. I - Dedicated COVID Hospitals / DCH"
 93,"Madurai           ","vadamalayan hospital                                               ","Cat. I - Dedicated COVID Hospitals / DCH"
 94,"Madurai           ","Apollo Hospital                                                    ","Cat. I - Dedicated COVID Hospitals / DCH"
 95,"Madurai           ","Bharathi Hospital                                                  ","Cat. I - Dedicated COVID Hospitals / DCH"
 96,"Madurai           ","Devaki Speciality Hospital                                         ","Cat. I - Dedicated COVID Hospitals / DCH"
 97,"Nagapattinam      ","Govt. Head Quarters Hospital at Nagapattinam                       ","Cat. I - Dedicated COVID Hospitals / DCH"
 98,"Nagapattinam      ","Govt. Hospital at Mayiladuthurai                                   ","Cat. I - Dedicated COVID Hospitals / DCH"
 99,"Nagapattinam      ","Vedaranyam_SDH                                                     ","Cat. I - Dedicated COVID Hospitals / DCH"
100,"Nagapattinam      ","Sirkazhi_SDH                                                       ","Cat. I - Dedicated COVID Hospitals / DCH"
101,"Namakkal          ","Govt. Hospital at Namakkal                                         ","Cat. I - Dedicated COVID Hospitals / DCH"
102,"Namakkal          ","Vivekanandha Medical Care Hospital, Namakkal Tn.                   ","Cat. I - Dedicated COVID Hospitals / DCH"
103,"Namakkal          ","Thangam Hospital, Namakkal Tn.                                     ","Cat. I - Dedicated COVID Hospitals / DCH"
104,"Perambalur        ","Govt. District Head Quarters Hospital                              ","Cat. I - Dedicated COVID Hospitals / DCH"
105,"Perambalur        ","Dhanalakshmisrinivasan Medical College And Hospital                ","Cat. I - Dedicated COVID Hospitals / DCH"
106,"Pudukkottai       ","Govt. Medical College,Pudukkottai                                  ","Cat. I - Dedicated COVID Hospitals / DCH"
107,"Pudukkottai       ","Ranees Govt. Hospital / OLD GH                                     ","Cat. I - Dedicated COVID Hospitals / DCH"
108,"Pudukkottai       ","Aranthangi _DHQS                                                   ","Cat. I - Dedicated COVID Hospitals / DCH"
109,"Pudukkottai       ","Sree Vijay Hospital                                                ","Cat. I - Dedicated COVID Hospitals / DCH"
110,"Ramanathapuram    ","Govt. Medical College Hospital, Ramanathapuram                     ","Cat. I - Dedicated COVID Hospitals / DCH"
111,"Ranipet           ","Walajapet _DHQS                                                    ","Cat. I - Dedicated COVID Hospitals / DCH"
112,"Salem             ","Govt. Mohan Kumaramangalam Medical College Hospital, Salem         ","Cat. I - Dedicated COVID Hospitals / DCH"
113,"Salem             ","Government District Head Quarters Hospital, Mettur.                ","Cat. I - Dedicated COVID Hospitals / DCH"
114,"Salem             ","Annapoorna Medical College &Hospital                               ","Cat. I - Dedicated COVID Hospitals / DCH"
115,"Salem             ","Vinyaga Mission Kirubanandha Variyar Medical College Hospital      ","Cat. I - Dedicated COVID Hospitals / DCH"
116,"Salem             ","Sri Gokulam Hospital,Salem Tn.                                     ","Cat. I - Dedicated COVID Hospitals / DCH"
117,"Salem             ","Dharan Hospital, Seelanaickanpatti                                 ","Cat. I - Dedicated COVID Hospitals / DCH"
118,"Salem             ","Manipal Hospital Dalmia Brd,Salem Tn.                              ","Cat. I - Dedicated COVID Hospitals / DCH"
119,"Salem             ","SKS Hospital,Salem Tn.                                             ","Cat. I - Dedicated COVID Hospitals / DCH"
120,"Salem             ","Kauvery Hospital, Seelanaickenpatti, Salem Tn.                     ","Cat. I - Dedicated COVID Hospitals / DCH"
121,"Salem             ","Shanmuga Hospt Cancer Ins Saradha Cll Rd,Salem Tn.                 ","Cat. I - Dedicated COVID Hospitals / DCH"
122,"Salem             ","Vinayaka Mission Super Specialty Hospitals Pvt Ltd                 ","Cat. I - Dedicated COVID Hospitals / DCH"
123,"Sivagangai        ","Govt. Medical College Hospital, Sivagangai                         ","Cat. I - Dedicated COVID Hospitals / DCH"
124,"Sivagangai        ","Karaikudi _DHQS                                                    ","Cat. I - Dedicated COVID Hospitals / DCH"
125,"Tenaksi           ","Govt District Head Quarters Hospital , Tenkasi                     ","Cat. I - Dedicated COVID Hospitals / DCH"
126,"Thanjavur         ","Govt. Medical College Hospital at Thanjavur                        ","Cat. I - Dedicated COVID Hospitals / DCH"
127,"Thanjavur         ","Govt. Raja Mirasudar Hospital at Thanjavur                         ","Cat. I - Dedicated COVID Hospitals / DCH"
128,"Thanjavur         ","Govt. Head Quarters Hospital at Kumbakonam                         ","Cat. I - Dedicated COVID Hospitals / DCH"
129,"Thanjavur         ","Pattukottai _SDH                                                   ","Cat. I - Dedicated COVID Hospitals / DCH"
130,"The Nilgiris      ","Govt. Medical College Hospital, Udhagamandalam                     ","Cat. I - Dedicated COVID Hospitals / DCH"
131,"Theni             ","Govt. Medical College, Theni                                       ","Cat. I - Dedicated COVID Hospitals / DCH"
132,"Theni             ","Governement Hospital NRT, Theni                                    ","Cat. I - Dedicated COVID Hospitals / DCH"
133,"Theni             ","Periyakulam _DHQS                                                  ","Cat. I - Dedicated COVID Hospitals / DCH"
134,"Thiruvallur       ","Govt. Medical College and Hospital Thiruvallur                     ","Cat. I - Dedicated COVID Hospitals / DCH"
135,"Thiruvallur       ","A.C.S. Medical College And Hospital                                ","Cat. I - Dedicated COVID Hospitals / DCH"
136,"Thiruvallur       ","Dr Mehtas Hospitals Velampanchavady ,Chennai Tn. New Unit          ","Cat. I - Dedicated COVID Hospitals / DCH"
137,"Thiruvallur       ","Apollo Hospitals Ayyanambakkam,Thiruvallur Tn.                     ","Cat. I - Dedicated COVID Hospitals / DCH"
138,"Thiruvannamalai   ","Govt. Medical College Hospital, Thiruvannamalai                    ","Cat. I - Dedicated COVID Hospitals / DCH"
139,"Thiruvannamalai   ","Thiruvannamalai (Old)                                              ","Cat. I - Dedicated COVID Hospitals / DCH"
140,"Thiruvarur        ","Govt. Medical College Hospital at Thiruvarur                       ","Cat. I - Dedicated COVID Hospitals / DCH"
141,"Thiruvarur        ","Mannargudi_DHQS                                                    ","Cat. I - Dedicated COVID Hospitals / DCH"
142,"Thoothukudi       ","Govt. Medical college Hospital, Thoothukudi                        ","Cat. I - Dedicated COVID Hospitals / DCH"
143,"Thoothukudi       ","Govt District Head Quarters Hospital , Kovilpatti                  ","Cat. I - Dedicated COVID Hospitals / DCH"
144,"Tirunelveli       ","Govt. Medical College Hospital, Tirunelveli                        ","Cat. I - Dedicated COVID Hospitals / DCH"
145,"Tirupathur        ","Tirupathur _SDH                                                    ","Cat. I - Dedicated COVID Hospitals / DCH"
146,"Tiruppur          ","Govt. Medical College Hospital, Tiruppur (TMC)                     ","Cat. I - Dedicated COVID Hospitals / DCH"
147,"Tiruppur          ","Govt. Hospital, Udumalai                                           ","Cat. I - Dedicated COVID Hospitals / DCH"
148,"Thiruvannamalai   ","Ramana Maharishi Hospital, Thiruvannamalai Tn.                     ","Cat. I - Dedicated COVID Hospitals / DCH"
149,"Thiruvannamalai   ","Cheyyar _DHQS                                                      ","Cat. I - Dedicated COVID Hospitals / DCH"
150,"Tiruchirappalli   ","KAPV Government Medical College                                    ","Cat. I - Dedicated COVID Hospitals / DCH"
151,"Tiruchirappalli   ","Govt. District Head Quarters Hospital, Manapparai                  ","Cat. I - Dedicated COVID Hospitals / DCH"
152,"Tiruchirappalli   ","Trichy Srm Medical College Hospital And Research Centre            ","Cat. I - Dedicated COVID Hospitals / DCH"
153,"Tiruchirappalli   ","Kavery Medical Centre And Hospital, Trichy Tn.                     ","Cat. I - Dedicated COVID Hospitals / DCH"
154,"Tiruchirappalli   ","Apollo Hospital                                                    ","Cat. I - Dedicated COVID Hospitals / DCH"
155,"Thoothukudi       ","Sri Hospitals                                                      ","Cat. I - Dedicated COVID Hospitals / DCH"
156,"Vellore           ","Govt. Vellore Medical College and Hospital                         ","Cat. I - Dedicated COVID Hospitals / DCH"
157,"Vellore           ","Christian Medical College                                          ","Cat. I - Dedicated COVID Hospitals / DCH"
158,"Vellore           ","Scudder Hospital,Vellore Tn.                                       ","Cat. I - Dedicated COVID Hospitals / DCH"
159,"Vellore           ","Sri Narayani Hospital And Res Ctr,Vellore Tn.                      ","Cat. I - Dedicated COVID Hospitals / DCH"
160,"Villupuram        ","Govt. Villupuram Medical College and Hospital                      ","Cat. I - Dedicated COVID Hospitals / DCH"
161,"Villupuram        ","Spl. Hospital for COVID -19 at Villupuram (Old GH)                 ","Cat. I - Dedicated COVID Hospitals / DCH"
162,"Villupuram        ","S A Hospital, Sankarapuram, Villupuram TN.                         ","Cat. I - Dedicated COVID Hospitals / DCH"
163,"Villupuram        ","Annai Medical Centre                                               ","Cat. I - Dedicated COVID Hospitals / DCH"
164,"Villupuram        ","Lotus Paediatric Emergency Centre                                  ","Cat. I - Dedicated COVID Hospitals / DCH"
165,"Virudhunagar      ","Govt. Medical College Hospital, Virudhunagar                       ","Cat. I - Dedicated COVID Hospitals / DCH"
166,"Virudhunagar      ","Rajapalayam_SDH                                                    ","Cat. I - Dedicated COVID Hospitals / DCH"
167,"Virudhunagar      ","Aruppukottai_SDH                                                   ","Cat. I - Dedicated COVID Hospitals / DCH"
