"S.No","District","Hospital","Type"
 36,"Namakkal               ","Gh,Rasipuram _SDH                                   ","Cat. II - Dedicated COVID Health Center / DCHC"
 37,"Namakkal               ","Aravinth Hospital,Rangar Sannadhi Str,Namakkal Tn.  ","Cat. II - Dedicated COVID Health Center / DCHC"
 38,"Namakkal               ","M.M.Hospital,Namakkal Tn.                           ","Cat. II - Dedicated COVID Health Center / DCHC"
 39,"Namakkal               ","Maharaja Speciality Hosp Mohanur Road,Namakkal Tn.  ","Cat. II - Dedicated COVID Health Center / DCHC"
 40,"Nilgiris               ","Nankam Hospital,Nilgiris Tn.                        ","Cat. II - Dedicated COVID Health Center / DCHC"
 41,"Nilgiris               ","Sagayamatha Hospital, Nilgiris Tn.                  ","Cat. II - Dedicated COVID Health Center / DCHC"
 42,"Perambalur             ","Lakshmi Nursing Home                                ","Cat. II - Dedicated COVID Health Center / DCHC"
 43,"Pudukkottai            ","Viralimalai_SDH                                     ","Cat. II - Dedicated COVID Health Center / DCHC"
 44,"Pudukkottai            ","Muthu Meenakshi Hospitals                           ","Cat. II - Dedicated COVID Health Center / DCHC"
 45,"Pudukkottai            ","Sree Durga Surgical Clinic & Research Center        ","Cat. II - Dedicated COVID Health Center / DCHC"
 46,"Ramanathapuram         ","Paramakudi _SDH                                     ","Cat. II - Dedicated COVID Health Center / DCHC"
 47,"Ramanathapuram         ","Aasi Multi Speciality Hospital                      ","Cat. II - Dedicated COVID Health Center / DCHC"
 48,"Ramanathapuram         ","Kanagamani Hospital                                 ","Cat. II - Dedicated COVID Health Center / DCHC"
 49,"Salem                  ","Athur _SDH                                          ","Cat. II - Dedicated COVID Health Center / DCHC"
 50,"Salem                  ","Omalur_SDH                                          ","Cat. II - Dedicated COVID Health Center / DCHC"
 51,"Salem                  ","Edapadi_SDH                                         ","Cat. II - Dedicated COVID Health Center / DCHC"
 52,"Salem                  ","Kurinji Hospital,Salem Tn.                          ","Cat. II - Dedicated COVID Health Center / DCHC"
 53,"Salem                  ","SPMM Hospital Ammapet, Salem Tn.                    ","Cat. II - Dedicated COVID Health Center / DCHC"
 54,"Sivagangai             ","Devakottai_SDH                                      ","Cat. II - Dedicated COVID Health Center / DCHC"
 55,"Sivagangai             ","Senthil Hospital,Sivagangai Tn.                     ","Cat. II - Dedicated COVID Health Center / DCHC"
 56,"Sivagangai             ","Apollo Hospitals,Sivagangai Tn.                     ","Cat. II - Dedicated COVID Health Center / DCHC"
 57,"Thanjavur              ","Papanasam_SDH                                       ","Cat. II - Dedicated COVID Health Center / DCHC"
 58,"Thanjavur              ","Thiruvaiyaru_SDH                                    ","Cat. II - Dedicated COVID Health Center / DCHC"
 59,"Thanjavur              ","Anbu Hospital,Thanjavur Tn.                         ","Cat. II - Dedicated COVID Health Center / DCHC"
 60,"Thanjavur              ","Meenakshi Multispeciality Hospital Thanjavur Tn.    ","Cat. II - Dedicated COVID Health Center / DCHC"
 61,"Thanjavur              ","KG Multi Speciality Hospital,Thanjavur Tn.          ","Cat. II - Dedicated COVID Health Center / DCHC"
 62,"Thanjavur              ","Diocese Of Thanjavur Society Olh, Thanjavur Tn.     ","Cat. II - Dedicated COVID Health Center / DCHC"
 63,"The Nilgiris           ","Connoor_SDH                                         ","Cat. II - Dedicated COVID Health Center / DCHC"
 64,"Theni                  ","Cumbum_SDH                                          ","Cat. II - Dedicated COVID Health Center / DCHC"
 65,"Theni                  ","NRT Hospital Private,Theni Tn.                      ","Cat. II - Dedicated COVID Health Center / DCHC"
 66,"Theni                  ","Krishnammal Memorial Hospital,Theni Tn.             ","Cat. II - Dedicated COVID Health Center / DCHC"
 67,"Theni                  ","T N K H N V Hospital, Theni Tn.                     ","Cat. II - Dedicated COVID Health Center / DCHC"
 68,"Thiruvallur            ","Tiruthani _SDH                                      ","Cat. II - Dedicated COVID Health Center / DCHC"
 69,"Thiruvallur            ","Ponneri_SDH                                         ","Cat. II - Dedicated COVID Health Center / DCHC"
 70,"Thiruvallur            ","Sugam Hospital, Thiruvallur Tn.                     ","Cat. II - Dedicated COVID Health Center / DCHC"
 71,"Thiruvallur            ","Aakash Hospital                                     ","Cat. II - Dedicated COVID Health Center / DCHC"
 72,"Thiruvarur             ","Thiruthuraipoondi _SDH                              ","Cat. II - Dedicated COVID Health Center / DCHC"
 73,"Thoothukudi            ","Kayalpattinam_SDH                                   ","Cat. II - Dedicated COVID Health Center / DCHC"
 74,"Thoothukudi            ","Tiruchendur_SDH                                     ","Cat. II - Dedicated COVID Health Center / DCHC"
 75,"Tiruchirappalli        ","Srirangam_SDH                                       ","Cat. II - Dedicated COVID Health Center / DCHC"
 76,"Tirunelveli            ","Shengottah_SDH                                      ","Cat. II - Dedicated COVID Health Center / DCHC"
 77,"Tirunelveli            ","Kudankulam_SDH                                      ","Cat. II - Dedicated COVID Health Center / DCHC"
 78,"Tirunelveli            ","Sankaran Kovil_SDH                                  ","Cat. II - Dedicated COVID Health Center / DCHC"
 79,"Tirunelveli            ","Galaxy Hospital, Tirunelveli Tn.                    ","Cat. II - Dedicated COVID Health Center / DCHC"
 80,"Tirunelveli            ","Ponra Multispeciality Hospital, Tirunelveli Tn.     ","Cat. II - Dedicated COVID Health Center / DCHC"
 81,"Tirunelveli            ","Shifa Hospital, Tirunelveli Tn.                     ","Cat. II - Dedicated COVID Health Center / DCHC"
 82,"Tirupathur             ","Ambur_SDH                                           ","Cat. II - Dedicated COVID Health Center / DCHC"
 83,"Tirupathur             ","Natrampalli_SDH                                     ","Cat. II - Dedicated COVID Health Center / DCHC"
 84,"Tirupathur             ","Vaniyambadi_SDH                                     ","Cat. II - Dedicated COVID Health Center / DCHC"
 85,"Tiruppur               ","Dharapuram_SDH                                      ","Cat. II - Dedicated COVID Health Center / DCHC"
 86,"Tiruppur               ","Palladam_SDH                                        ","Cat. II - Dedicated COVID Health Center / DCHC"
 87,"Tiruppur               ","Revathi Medical Centre, Tirupur Tn.                 ","Cat. II - Dedicated COVID Health Center / DCHC"
 88,"Tiruppur               ","Sri Kumaran Hospital, Tirupur Tn.                   ","Cat. II - Dedicated COVID Health Center / DCHC"
 89,"Thiruvarur             ","Navajeevan Hospital                                 ","Cat. II - Dedicated COVID Health Center / DCHC"
 90,"Thiruvarur             ","Thiruvarur Medical Centre                           ","Cat. II - Dedicated COVID Health Center / DCHC"
 91,"Tiruchirappalli        ","Maruti Hospital,Thennur,Trichy Tn.                  ","Cat. II - Dedicated COVID Health Center / DCHC"
 92,"Tiruchirappalli        ","Sinduja Hospital,Manaparai,Trichy Tn.               ","Cat. II - Dedicated COVID Health Center / DCHC"
 93,"Thoothukudi            ","AVM Hospital                                        ","Cat. II - Dedicated COVID Health Center / DCHC"
 94,"Thoothukudi            ","Sacred Heart Hospital,Tuticorin Tn.                 ","Cat. II - Dedicated COVID Health Center / DCHC"
 95,"Vellore                ","Pentland _SDH                                       ","Cat. II - Dedicated COVID Health Center / DCHC"
 96,"Villupuram             ","Tindivanam_SDH                                      ","Cat. II - Dedicated COVID Health Center / DCHC"
 97,"Villupuram             ","Gingee_SDH                                          ","Cat. II - Dedicated COVID Health Center / DCHC"
 98,"Villupuram             ","E.S. Hospital                                       ","Cat. II - Dedicated COVID Health Center / DCHC"
 99,"Villupuram             ","I Med Super Speciality Hospitals Villupuram Tn.     ","Cat. II - Dedicated COVID Health Center / DCHC"
100,"Villupuram             ","Maragadam Hospitalvillupuram Tn.                    ","Cat. II - Dedicated COVID Health Center / DCHC"
101,"Villupuram             ","Sri Sanjeevi Hospital Kallakurichi                  ","Cat. II - Dedicated COVID Health Center / DCHC"
102,"Virudhunagar           ","Sivakasi _SDH                                       ","Cat. II - Dedicated COVID Health Center / DCHC"
103,"Virudhunagar           ","Sathur_SDH                                          ","Cat. II - Dedicated COVID Health Center / DCHC"
104,"Virudhunagar           ","City Hospital, Aruppukottai, Virudhunagar Tn.       ","Cat. II - Dedicated COVID Health Center / DCHC"
105,"Virudhunagar           ","Sri Krishna Hospital,Rajapalayam, Virudhunagar Tn.  ","Cat. II - Dedicated COVID Health Center / DCHC"
